ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_LAT,ORIGIN_LONG,total_departures,avg_dep_delay,avg_arr_delay,median_dep_delay,delay_rate,avg_taxi_out,unique_airlines,unique_destinations,delay_rate_pct,on_time_rate_pct,cancelled_flights
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.48,-88.92,42,10.14,10.4,-4.0,0.21,13.71,4,6,21.43,78.57,2
BNA,Nashville International Airport,Nashville,TN,36.12,-86.68,791,10.32,5.53,-1.0,0.19,12.93,9,44,18.76,81.24,18
BOI,Boise Airport (Boise Air Terminal),Boise,ID,43.56,-116.22,215,10.19,7.86,-3.0,0.18,13.75,6,15,18.22,81.78,0
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36,-71.01,1822,8.95,3.22,-2.0,0.19,20.02,11,59,18.95,81.05,55
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,29.95,-94.02,14,2.79,4.29,-6.0,0.29,11.64,2,1,28.57,71.43,1
BQK,Brunswick Golden Isles Airport,Brunswick,GA,31.26,-81.47,16,1.94,0.62,-1.5,0.25,17.94,1,1,25.0,75.0,0
BQN,Rafael Hernández Airport,Aguadilla,PR,18.49,-67.13,22,6.64,-4.32,-2.0,0.18,11.27,2,3,18.18,81.82,0
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,46.4,-94.14,13,-0.08,-3.46,-4.0,0.23,21.54,1,1,23.08,76.92,0
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,25.91,-97.43,42,-2.98,-5.52,-7.0,0.05,11.83,2,2,4.76,95.24,2
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,71.29,-156.77,24,-1.08,0.04,-10.0,0.25,7.25,1,3,25.0,75.0,0
BTM,Bert Mooney Airport,Butte,MT,45.95,-112.5,15,5.07,1.27,-6.0,0.07,14.6,1,1,6.67,93.33,1
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53,-91.15,113,6.42,7.09,-4.0,0.19,12.87,3,3,19.47,80.53,3
BTV,Burlington International Airport,Burlington,VT,44.47,-73.15,43,21.21,19.28,-4.0,0.28,18.02,4,7,27.91,72.09,2
BUF,Buffalo Niagara International Airport,Buffalo,NY,42.94,-78.73,283,7.44,0.72,-3.0,0.17,12.93,9,17,16.96,83.04,5
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.2,-118.36,335,6.36,3.82,-2.0,0.16,11.98,4,11,16.42,83.58,10
BWI,Baltimore-Washington International Airport,Baltimore,MD,39.18,-76.67,1381,15.02,8.87,1.0,0.23,14.33,10,65,22.71,77.29,28
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,45.78,-111.15,50,3.8,-0.86,-4.0,0.16,14.04,4,7,16.0,84.0,0
CAE,Columbia Metropolitan Airport,Columbia,SC,33.94,-81.12,89,3.35,0.72,-3.0,0.17,14.35,3,6,16.85,83.15,1
CAK,Akron-Canton Regional Airport,Akron,OH,40.92,-81.44,103,4.37,-3.46,-3.0,0.13,12.15,3,11,12.62,87.38,1
CDC,Cedar City Regional Airport,Cedar City,UT,37.7,-113.1,11,-2.55,-3.82,-2.0,0.0,14.36,1,1,0.0,100.0,0
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,60.49,-145.48,11,-13.45,-15.45,-14.0,0.0,5.45,1,2,0.0,100.0,0
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,41.78,-124.24,4,4.75,-4.0,1.5,0.25,13.75,1,1,25.0,75.0,0
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,35.04,-85.2,55,0.4,0.0,-4.0,0.18,15.55,4,4,18.18,81.82,0
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,38.14,-78.45,54,13.65,11.22,-3.5,0.24,14.72,4,3,24.07,75.93,3
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,32.9,-80.04,218,6.17,0.92,-2.0,0.17,13.47,10,19,16.97,83.03,3
CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.88,-91.71,132,7.86,5.71,-4.0,0.17,14.65,4,6,16.92,83.08,7
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,46.25,-84.47,11,0.27,-3.27,1.0,0.0,19.36,1,1,0.0,100.0,0
CLD,McClellan-Palomar Airport,San Diego,CA,33.13,-117.28,11,31.91,29.0,7.0,0.36,13.36,1,1,36.36,63.64,0
